dataset_name,oversampler_name,n_neighbors,oversampling_option,mean,std
Breast Cancer Wisconsin (Diagnostic),ADASYN,3,ADVANCED,0.9466584573097223,0.020996457653990407
Breast Cancer Wisconsin (Diagnostic),BorderlineSMOTE,3,ADVANCED,0.9574858749372223,0.01592659110323626
Breast Cancer Wisconsin (Diagnostic),SMOTE,3,ADVANCED,0.950485806670926,0.02783630745915659
Breast Cancer Wisconsin (Diagnostic),SMOTE,3,BASIC,0.9373358082335649,0.03545453081961001
Breast Cancer Wisconsin (Diagnostic),SMOTE,5,ADVANCED,0.9519160012240742,0.026759670640270874
Ionosphere,ADASYN,3,ADVANCED,0.9783957238318519,0.012402643113778002
Ionosphere,BorderlineSMOTE,3,ADVANCED,0.9726955412450926,0.013646613561523704
Ionosphere,SMOTE,3,ADVANCED,0.9740075057722223,0.012514337619606297
Ionosphere,SMOTE,5,ADVANCED,0.9778824554671297,0.009817890431903448
Pima Indians Diabetes,ADASYN,3,ADVANCED,0.6733340078817593,0.026490669063072
Pima Indians Diabetes,BorderlineSMOTE,3,ADVANCED,0.6609200134481482,0.03386028193998517
Pima Indians Diabetes,SMOTE,3,ADVANCED,0.6402474794144444,0.03472850201741164
Pima Indians Diabetes,SMOTE,5,ADVANCED,0.6446589730416667,0.03388657883321798
abalone,ADASYN,3,ADVANCED,0.42022237062574075,0.036409537893824666
abalone,ADASYN,3,BASIC,0.42115476072629626,0.03603134859476102
abalone,ADASYN,5,ADVANCED,0.418404376595,0.03691190134382594
abalone,ADASYN,5,BASIC,0.40811780382601853,0.030307461806180186
abalone,ADASYN,7,ADVANCED,0.41644438764259256,0.036409033278245254
abalone,BorderlineSMOTE,3,ADVANCED,0.4296920153227778,0.041870949845455266
abalone,BorderlineSMOTE,3,BASIC,0.4396735006888889,0.03379137882396179
abalone,BorderlineSMOTE,5,ADVANCED,0.4309109339077778,0.041336792744677255
abalone,BorderlineSMOTE,5,BASIC,0.4236818570850926,0.031550126055383
abalone,BorderlineSMOTE,7,ADVANCED,0.42726778690592593,0.03949736799279911
abalone,BorderlineSMOTE,7,BASIC,0.4068758433535185,0.02816466178922836
abalone,SMOTE,3,ADVANCED,0.4229604956053704,0.03693404506769671
abalone,SMOTE,3,BASIC,0.41944182157157406,0.03375157955755785
abalone,SMOTE,5,ADVANCED,0.4227052372994445,0.03599118703648981
abalone,SMOTE,5,BASIC,0.4180516886237963,0.04000077193168178
abalone,SMOTE,7,ADVANCED,0.4205528372928704,0.034296209449512005
abalone,SMOTE,7,BASIC,0.4051694884576852,0.027962369593404222
abalone_19,ADASYN,3,ADVANCED,0.016470523275,0.025118902215323195
abalone_19,ADASYN,3,BASIC,0.02741127201148148,0.03278885342956929
abalone_19,ADASYN,5,ADVANCED,0.015592738853425927,0.02353586088791088
abalone_19,ADASYN,5,BASIC,0.024776001943981482,0.0292721538662661
abalone_19,ADASYN,7,ADVANCED,0.012507635492407408,0.018475933412253266
abalone_19,ADASYN,7,BASIC,0.02286511280824074,0.024974463411876993
abalone_19,BorderlineSMOTE,3,ADVANCED,0.014803199727962964,0.051492682930963485
abalone_19,BorderlineSMOTE,3,BASIC,0.013715270024722222,0.041695865869988614
abalone_19,BorderlineSMOTE,5,ADVANCED,0.013974962756018519,0.034847355470915733
abalone_19,BorderlineSMOTE,5,BASIC,0.03934049393138889,0.050202598667784044
abalone_19,BorderlineSMOTE,7,ADVANCED,0.016961749484074074,0.03339838280669159
abalone_19,SMOTE,3,ADVANCED,0.015384629099074074,0.023308334374640752
abalone_19,SMOTE,3,BASIC,0.022866458708055558,0.02847041965511852
abalone_19,SMOTE,5,ADVANCED,0.014600211953240742,0.021593782715018512
abalone_19,SMOTE,5,BASIC,0.020103030579722223,0.02548342940424732
abalone_19,SMOTE,7,ADVANCED,0.012184603264814816,0.017623240798850436
abalone_19,SMOTE,7,BASIC,0.020349792295740743,0.025883111345199685
arrhythmia,ADASYN,3,ADVANCED,0.40587742506009267,0.3192698095538647
arrhythmia,ADASYN,3,BASIC,0.4530320399962963,0.29871927324646275
arrhythmia,ADASYN,5,ADVANCED,0.41544091712351855,0.31481928026314365
arrhythmia,ADASYN,5,BASIC,0.4810978836182408,0.28142152713107693
arrhythmia,ADASYN,7,ADVANCED,0.42122574957620373,0.3144392060447577
arrhythmia,ADASYN,7,BASIC,0.4702101705015741,0.285336918215191
arrhythmia,BorderlineSMOTE,3,ADVANCED,0.39876543211351856,0.3193523310782848
arrhythmia,BorderlineSMOTE,3,BASIC,0.531158543125463,0.24153380418229192
arrhythmia,BorderlineSMOTE,5,ADVANCED,0.401940035287963,0.3182096378667458
arrhythmia,BorderlineSMOTE,5,BASIC,0.5038033520101852,0.29743197119099074
arrhythmia,BorderlineSMOTE,7,ADVANCED,0.4035273368744445,0.3165113236391957
arrhythmia,BorderlineSMOTE,7,BASIC,0.4549398081508334,0.29073653440953806
arrhythmia,SMOTE,3,ADVANCED,0.41349206350898154,0.3181220944217936
arrhythmia,SMOTE,3,BASIC,0.4812588183635186,0.29481175780449215
arrhythmia,SMOTE,5,ADVANCED,0.4126278659768519,0.3160263074755661
arrhythmia,SMOTE,5,BASIC,0.4872839506363889,0.27244253269263435
arrhythmia,SMOTE,7,ADVANCED,0.4162477954310186,0.3165765269557282
arrhythmia,SMOTE,7,BASIC,0.48054159319898154,0.27688933182226605
car_eval_34,ADASYN,3,ADVANCED,0.7918141259633333,0.1728389760873853
car_eval_34,ADASYN,3,BASIC,0.7635384701407408,0.17266463156196452
car_eval_34,ADASYN,5,ADVANCED,0.7915998524786111,0.18406540748680666
car_eval_34,ADASYN,5,BASIC,0.7798314119399999,0.18973027761339498
car_eval_34,ADASYN,7,ADVANCED,0.7911147126894444,0.18570595917140445
car_eval_34,BorderlineSMOTE,3,ADVANCED,0.7770561209437037,0.19312361218665122
car_eval_34,BorderlineSMOTE,3,BASIC,0.7539712493345371,0.18950054518464962
car_eval_34,BorderlineSMOTE,5,ADVANCED,0.7877429883011111,0.18605464314246953
