dataset_name,oversampling_option,oversampler_name,n_neighbors,take,params
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,3,1,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,3,2,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,3,3,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,3,4,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,3,5,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,5,1,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,5,2,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,5,3,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,5,4,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,5,5,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,7,1,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,7,2,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,7,3,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,7,4,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,ADASYN,7,5,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,3,1,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,3,2,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,3,3,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,3,4,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,3,5,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,5,1,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,5,2,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,5,3,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,5,4,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,5,5,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,7,1,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,7,2,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,7,3,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,7,4,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,BorderlineSMOTE,7,5,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,3,1,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,3,2,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,3,3,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,3,4,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,3,5,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,5,1,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,5,2,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,5,3,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,5,4,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,5,5,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,7,1,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,7,2,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,7,3,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,7,4,216
Breast Cancer Wisconsin (Diagnostic),ADVANCED,SMOTE,7,5,216
Breast Cancer Wisconsin (Diagnostic),BASIC,ADASYN,3,1,216
Breast Cancer Wisconsin (Diagnostic),BASIC,ADASYN,3,2,216
